site,n,percent
1_km_south_of_the_marina,105,0.005051963048498845
1000m_s_of_harbor,47,0.0022613548883756735
500m_s_of_harbor,52,0.0025019245573518092
achziv,1043,0.050182832948421865
adrasan,116,0.005581216320246343
alonissos,205,0.009863356428021556
asinara,842,0.040511932255581216
asinara_add,1561,0.07510585065434949
assecret1210191,71,0.003416089299461124
assecret1210192,69,0.0033198614318706698
assecret1310191,90,0.0043302540415704385
assecret1310192,105,0.005051963048498845
assecret1310193,74,0.003560431100846805
assecret1410191,60,0.002886836027713626
assecret1410192,80,0.003849114703618168
assecret1410193,86,0.004137798306389531
assecret1610191,100,0.00481139337952271
assecret1610192,55,0.0026462663587374902
assecret1610193,61,0.002934949961508853
assecret1810191,81,0.003897228637413395
assecret1810192,77,0.0037047729022324865
assecret1810193,142,0.006832178598922248
assecret1910191,105,0.005051963048498845
assecret1910192,120,0.005773672055427252
assecret1910193,104,0.0050038491147036184
assecret2010191,113,0.005436874518860662
assecret2010192,80,0.003849114703618168
assecret2010193,102,0.004907621247113164
assecret2210191,88,0.004234026173979984
assecret2210192,9,4.330254041570439e-4
ayvalik,198,0.009526558891454965
banyuls,64,0.003079291762894534
banyuls_port,24,0.0011547344110854503
banyuls_unknown,57,0.0027424942263279445
beach_at_next_bay_over_from_banyuls,46,0.0022132409545804464
behind_the_marina,10,4.81139337952271e-4
brijuni,495,0.023816397228637414
cabrera,206,0.009911470361816782
cap_de_creus,186,0.00894919168591224
capo_caccia,159,0.007650115473441108
carloforte,270,0.012990762124711317
cavalleria,173,0.008323710546574287
dragonera,168,0.008083140877598153
eivissa,212,0.010200153964588145
fethiye,100,0.00481139337952271
formentera,227,0.01092186297151655
formentor,136,0.006543494996150885
gdor,857,0.04123364126250962
genova,239,0.011499230177059276
gokova,148,0.00712086220169361
gyaros,137,0.006591608929946112
habonim,644,0.03098537336412625
illa_de_l'aire,146,0.007024634334103157
karpathos,173,0.008323710546574287
kas,117,0.005629330254041571
kimolos,198,0.009526558891454965
kornati,493,0.02372016936104696
lampedusa,977,0.04700731331793687
linosa,765,0.03680715935334873
malta,1118,0.053791377983063896
maratea,186,0.00894919168591224
marettimo,391,0.018812548113933795
medes,219,0.010536951501154735
miljet,519,0.024971131639722862
montgri,172,0.008275596612779062
north_of_the_arches_public_beach,43,0.0020688991531947654
otranto,256,0.012317167051578136
outside_reseve,55,0.0026462663587374902
piperi,187,0.008997305619707466
porto_cesareo,273,0.013135103926096998
portofino,171,0.008227482678983834
san_vito,470,0.022613548883756735
shikmona,715,0.03440146266358737
south_edge_of_no-take_zone,45,0.0021651270207852192
south_of_cape_bear,48,0.0023094688221709007
tavolara,241,0.011595458044649731
torre_guaceto,288,0.013856812933025405
tremiti,64,0.003079291762894534
ustica,510,0.02453810623556582
Akamas,86,0.004137798306389531
Akrotiri,74,0.003560431100846805
Kavo Gkreko,893,0.0429657428791378
Moulia,30,0.001443418013856813
Nisia,262,0.0126058506543495
